NIT,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,DIA DE PEDIDO,FRECUENCIA
900053228,11,4,16,1,15
900790926,2,5,4,1,7
860008010,8,9,19,4,7
860008010,3,5,4,4,7
860008010,2,5,4,5,30
860008010,6,9,19,2,7
830013576,11,4,14,5,7
830114931,2,7,22,2,15
900020400,2,3,8,2,30
900785101,3,8,1,3,7
860021142,10,12,18,1,15
901105889,11,2,5,2,15
901105889,1,9,19,2,15
900777194,11,5,4,1,7
900283465,6,3,8,6,30
860016941,8,1,11,3,15
901516396,1,7,7,5,30
832005572,1,7,22,4,30
860404767,2,7,8,2,30
901220938,11,1,10,1,15
901071513,11,13,43,5,30
860025790,3,12,17,2,15
860403568,2,2,18,3,30
900236037,1,4,16,4,15
800146663,2,1,10,5,15
832004258,2,13,39,1,30
860071169,3,4,17,1,15
860071169,3,3,8,1,15
900028636,8,9,19,3,15
900603451,5,4,14,5,15
860025026,2,9,19,4,15
860450531,1,9,19,5,30
860041454,2,12,3,5,15
830007380,4,4,14,5,15
900658174,7,3,8,1,15
800139747,9,1,11,5,15
832001672,1,10,49,5,15
860006148,11,7,22,1,15
900175107,10,7,7,3,15
900116944,8,8,1,2,15
900183551,8,3,8,5,15
900077664,7,5,18,3,15
830057894,11,9,19,5,15
900276103,3,1,10,1,30
900011372,8,9,19,3,30
830028492,11,12,15,1,7
901024352,1,2,5,4,15
830063790,8,7,22,4,7
900240037,8,9,19,2,15
860022954,6,8,11,2,7
830036024,11,7,22,5,15
900785941,8,8,1,4,7
800203986,6,6,2,4,30
800025766,6,4,13,4,15
901147832,6,1,10,3,30
